id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
12,Indonesia,IDN,669.233,572.169,712.319,749.794206,1161.476093,1535.051649,1580.865857,1474.016721,1860.543893,2511.804893,3245.308571,4565.074259,3578.777924,3601.626475,4926.400779,5141.614206,4760.552678,4760.560336,4658.978145,5176.528577,5767.94218,6604.300522,6358.750279,7569.599501,8651.346982,9098.64078,8886.232566,9345.097243,8834.253443,8598.646297,7780.338271,9056.691258,9654.351892
13,France (c),FRA,1003.72,1229.447,1541.888,1470.313866,1566.46464,1719.020394,1718.184591,1894.752585,2172.434086,2222.764096,2259.231273,2485.068357,2555.528903,2762.248506,2971.121947,3761.267894,4441.353969,5177.568188,5786.829654,4858.548067,5560.416292,7653.021096,6434.83148,6664.492988,7282.501625,6088.322764,6422.617967,6632.310145,6575.111816,6650.732257,7058.554777,7759.295566,8658.256115
14,Vietnam,VNM,0,0,0,0,0,0,0,0,0,0,0,0,1481.673207,2397.699495,2333.483843,2632.271987,2653.7049,2907.350644,3859.562385,5469.784313,5250.016774,6008.272078,3858.985532,3913.76868,3701.259654,4083.766767,4866.570304,5992.580284,5543.143474,5640.551531,6678.475308,7858.60023,7572.56415
15,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,823.843994,1008.419906,1078.229928,1190.583341,1222.717428,1422.372608,1595.491161,1797.006122,2138.490348,2641.076237,2911.096952,2841.533452,3170.310585,3792.779611,4089.803505,4699.138257,6569.856837,6317.147477,7351.953224,8012.242874,7445.03918
16,Taiwan,TWN,1723.217,1854.224,2173.338,1846.172705,1954.576093,2216.020492,2423.99748,2593.21411,2729.336066,2704.606031,2812.886809,3096.598156,3127.632097,3665.1794,3176.956618,3522.180473,3549.59305,3832.934867,3888.231696,4418.554714,4582.427589,4657.637004,3518.880534,3866.388387,4008.840872,3963.496993,4279.551557,4773.205068,5056.546869,4686.060985,4723.938218,5404.603989,5869.680082
17,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,973.293301,970.162062,432.065501,1055.090614,1038.715081,510.361998,2428.561351,3538.741576,3774.432841,3658.766787,4071.536097,6004.038745,5269.582542,5813.009827,4842.674863,4789.824328,4237.581315,4681.251187,5913.999222,5648.148469
18,Canada,CAN,921.012,1128.123,1451.671,1280.276422,1094.518912,1155.843178,1291.837823,1402.536327,1802.359095,1814.496124,1639.694122,1914.292032,2050.2011,2415.853676,2268.678093,2201.541662,2342.299954,2543.672249,2670.758531,3055.77163,3242.205887,4067.197612,3200.788085,2983.631075,3012.723073,3756.664195,3482.246895,3612.385611,3937.116741,3947.39895,4240.492608,4302.004083,4989.498044
19,Papua New Guinea,PNG,251.84,205.694,287.063,487.474423,930.178595,1226.489207,1456.33373,1263.454922,1316.192187,1356.02149,1165.080489,889.873815,1291.559253,1573.500779,1368.255685,1347.38912,1633.209287,1763.909769,2204.147461,2510.40426,2780.944639,3190.836326,3238.603241,3452.90583,4170.09322,3926.538234,3511.618881,4056.996966,3451.242907,3966.672722,3739.726369,3988.828963,4537.07944
20,Switzerland (f),CHE,636.476,653.43,682.201,773.937832,739.917789,918.71653,1060.286467,1279.405836,1509.355923,1456.218426,1550.37331,1748.404833,1826.241535,2220.455109,2444.70549,2294.281839,2008.673712,2345.789892,2497.007608,2907.586398,2728.517226,3329.329294,3415.787649,3260.729384,3717.326547,3646.785537,3783.590186,3692.35743,3902.876671,4076.90878,3788.466683,4484.365209,4495.184315
21,Netherlands,NLD,795.414,852.778,829.314,848.408792,898.296852,1005.940592,1107.371528,1179.710104,1166.170884,1127.40166,1296.338905,1494.011426,1476.446322,1539.497817,1522.763838,1729.319351,1841.909685,2001.757664,1950.625919,2025.151132,2378.992526,2904.613106,2766.561539,2698.123481,3027.783805,3522.533452,3109.038212,3417.147582,3515.838284,3414.198609,3402.481066,4000.290349,4289.525942
22,Hong Kong (SAR of China),HKG,1393.284,1499.659,1638.501,1527.278074,1514.044229,1647.791127,1627.256005,1756.359989,2081.660894,1905.784276,2117.38561,2368.251736,2272.141146,2536.740826,3279.586596,3088.453965,2520.659789,2886.094518,3062.609461,3422.421737,3237.177508,3518.5433,3158.075508,3195.625645,3246.639122,3303.977402,3723.86192,3834.295107,4350.78394,3911.602566,3775.025675,4381.155356,4120.908271
23,Ireland,IRL,235.792,241.616,237.779,239.407609,255.826443,322.368885,361.781544,421.076533,575.838114,556.260718,787.988008,1108.258948,1114.876446,1183.151373,1505.793864,1774.796367,1961.484602,2132.469391,2290.101563,2148.352351,2473.797838,2806.319917,3068.036488,3227.248222,3218.821462,2779.706855,2742.350469,2772.011153,3438.792093,4133.538406,3258.343115,3392.444049,3744.330334
24,Mexico,MEX,57.367,76.989,101.859,100.743397,91.633154,94.5439,108.720754,129.414492,168.481945,170.815153,201.268786,350.46448,392.778373,484.646568,641.118308,539.797978,614.04854,717.091284,888.718793,1098.770866,1194.441424,1451.553281,1279.5948,1486.423476,1853.186045,2080.726648,2234.784609,2135.663852,2603.28911,2675.609071,3034.100513,3326.49757,3277.603935
25,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826.499684,2295.469434,1893.150396,1984.312561,2395.77124,3438.008549,3063.857353,3593.949862,2559.200984,2436.776831,2487.652445,2881.624519,3014.948593
26,Sweden,SWE,825.58,885.97,1040.65,1027.893479,861.045402,1114.713338,1145.387273,1371.594009,1736.250449,1652.440429,1691.338639,1647.076774,1798.194431,1742.364437,1619.332851,1842.044402,1909.170521,1918.624619,2189.46141,2607.710318,2464.413304,2778.047576,2314.663549,2407.949359,2693.477123,2552.16406,2276.218878,2267.073059,2247.588361,2434.537526,2926.484258,3366.476911,2910.335994
27,Belgium (b),BEL,393.27,430.746,542.34,535.103005,460.080185,589.667509,636.275362,691.064501,872.030241,819.35524,823.260429,800.129683,799.573708,863.906682,880.765527,1042.081365,1239.602877,1259.620572,1423.907687,1632.40874,1687.099422,1985.138296,1666.209577,1640.540729,1749.384947,1784.383103,1803.259375,1863.529948,1739.658085,1820.35518,2117.458582,2246.362034,2032.87424
28,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.852772,1264.869633,1147.72242,1050.001753,911.439665,999.303717,1060.13948,1178.029259,1273.017403,1588.496782,1738.168872,2049.005075,2017.790779
29,Philippines,PHL,173.729,190.05,251.893,205.399531,208.877143,240.86876,273.491411,331.26796,351.870416,432.507534,584.146368,601.231081,607.338656,744.728178,690.610343,995.02793,1004.990304,988.903569,1002.956348,1064.024049,1140.720655,1121.395954,953.689967,938.251299,998.335052,1231.104898,1593.471551,1930.501087,1607.433135,1722.656736,1592.574093,1647.884182,1871.046245
30,South Africa,ZAF,157.358,113.13,148.132,153.158191,124.617439,172.340676,296.228637,371.280236,485.423574,566.298797,623.637922,738.409777,794.30679,1035.116135,1054.71082,1217.886584,1436.274089,1560.827245,1867.344695,1953.379017,1749.35075,2103.656393,1416.652013,1741.767115,1445.182264,1470.782456,1485.008813,1509.728019,1813.884196,1794.67836,1774.928754,1789.737576,1837.970866
31,Fiji,FJI,157.161,205.99,276.229,284.745144,264.094666,281.997795,319.155956,341.2901,378.924553,515.150749,540.50394,733.390757,843.1148,605.424987,601.909776,723.485959,775.434867,870.211329,895.312667,874.489931,792.957004,1007.833155,1013.968377,1186.790509,1283.160238,1291.392211,1384.819553,1449.26714,1559.041131,1508.445315,1493.547456,1714.882254,1793.557104
32,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.631543,1355.856022,1587.211802,1506.221292,1514.974592,1663.301347,1665.76694,1756.610342,1958.00896,1828.625104,1683.500708,1830.469872,1750.039981
33,Turkey,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,212.587373,270.5025,289.662352,295.263938,410.396022,458.174038,544.215287,545.301103,646.117033,649.036007,674.208935,694.499655,776.295978,905.575218,985.951474,1114.879723,1145.492482,995.562914,1262.405355,1432.699821
34,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.768882,1098.176126,764.355604,768.881779,997.622381,963.193092,873.913279,825.373708,790.921074,811.625176,924.847586,1179.400932,1384.251574
35,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.245019,443.333816,460.673328,408.851093,481.104727,605.802791,674.909744,870.223006,860.832366,991.06991,1129.433031,1088.162168,1268.954689
36,Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.52934,97.718484,203.960917,198.19142,304.366773,445.180001,543.157381,657.503151,930.367457,969.531645,952.01073,1085.241917,1260.334913
37,Brunei,BRN,34.985,19.524,29.604,48.999093,78.066178,80.5848,32.767215,7.249821,32.819586,7.200271,8.657251,13.949714,108.968566,304.610147,445.257955,622.590202,616.890856,745.089838,766.578835,1207.564233,1199.366288,1352.578336,785.151393,1130.91619,1352.819888,1125.876429,932.505777,1001.632243,482.176386,376.247835,326.775355,818.526664,1259.760715
38,Israel,ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.449857,950.220207,667.120689,721.948098,747.815841,801.574765,824.822569,841.760475,922.683034,950.866926,970.491183,998.375048,1129.690779
39,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,676.794487,550.06467,494.046803,513.586749,584.018177,781.668704,909.66572,1010.792345,1369.598354,758.529267,875.790555,926.70254,771.101622,744.494315,865.566684,779.906446,939.573574,910.993701,1012.821323,1055.416248
40,Greece,GRC,230.268,208.262,275.242,273.465096,225.437446,221.002207,262.608486,305.609905,308.57951,305.823274,315.475179,370.053662,366.395873,465.923555,441.552132,674.059193,343.990494,391.722745,485.920991,468.614758,812.181203,855.681397,770.606032,876.139258,935.824782,991.132049,1098.719563,1183.642789,1277.595633,969.082786,927.745334,993.55185,1050.898755
41,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.294091,1034.350749,821.907315,874.80058,801.283659,876.832475,878.404627,901.135742,878.009998,815.122077,884.858033,983.294079,1046.214064
42,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.646187,250.625079,158.73954,152.022339,289.982165,12.066226,90.751024,8.178398,8.080173,375.361328,434.88304,740.550994,905.128033
43,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,118.106722,187.52798,201.049174,222.349216,205.759419,250.803887,273.089689,390.731975,529.269779,542.176605,436.439093,682.922814,764.084471,982.497323,896.832402,917.413844,783.625989,875.093341,834.146376,893.1947649
44,Libya,LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0124,20.016053,59.286511,364.317517,200.11184,1122.154127,762.513942,9.073038,21.001054,9.0028,56.016883,722.334104,880.054752
45,Chile,CHL,33.402,37.057,71.088,68.909164,51.193605,49.85626,44.706591,67.667717,119.543149,112.751414,125.404825,100.82523,84.341516,130.998984,167.094883,172.188203,202.102643,174.704389,239.661084,307.229369,593.776554,999.201932,893.238536,1162.329781,1184.486786,1456.201102,1251.817433,1222.597024,1145.780737,806.703771,762.883392,782.444815,860.4125561
46,Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.640502,404.116928,272.449881,301.035145,419.770732,471.790078,693.635533,672.258959,883.112357,784.478543,748.751526,746.393221,821.39617
47,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.224556,450.204065,472.897916,481.515703,445.619314,356.894983,363.50097,528.106015,597.64077,628.379651,655.581439,654.311226,791.812689
48,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.87708,198.63306,233.233835,268.248835,299.398081,328.961666,383.197516,383.778749,403.577114,451.388186,562.028988,690.509769,648.914334
49,Saudi Arabia,SAU,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.613037,1300.686818,1228.327313,945.144278,1059.451806,1370.747399,1268.152505,1074.838071,952.89989,689.620461,456.83081,444.199755,535.842878,311.436261,474.836186,494.290461,496.207904,463.501169,662.961882,591.724424
50,Nigeria,NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.178132,12.822715,270.093555,796.918454,2057.469412,2647.522469,1883.643405,1628.373802,14.620914,19.210498,533.203846,651.974697,584.655034
51,Russian Federation (e),RUS,107.515,133.391,164.111,139,124,190.317932,250.437797,211.46482,169.861252,112.744382,31.577487,70.804411,48.195098,88.58325,110.526066,135.083096,68.829134,104.881106,161.833799,147.832158,247.51472,714.727933,452.851588,480.286565,1107.563751,976.545689,1203.20282,1445.155642,432.350745,307.204269,514.224667,393.3286781,556.7837644
52,Pakistan,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.292307,219.590093,222.938638,226.525722,248.624575,265.231732,281.862875,296.164745,376.682872,468.242278,444.991359,491.779407,533.952399
53,Cambodia,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.623887,107.628924,113.784393,128.194106,170.243776,202.268279,250.558546,299.265452,359.044183,423.057335,389.245975,393.001932,483.127921
54,Slovak Republic,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.887539,221.692922,121.784363,165.705313,177.109997,243.088062,354.025804,417.456146,478.375144,342.303187,350.418044,266.773732,478.043905
55,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.807712,214.414864,171.3852,191.989138,209.083289,212.536501,209.413344,222.860304,273.002481,276.706117,301.828901,373.505971,362.412266
56,Peru,PER,0,0,0,0,0,0,0,0,0,0,0,0,32.184736,79.765156,79.342497,88.325279,102.728918,85.098918,90.336569,98.089356,198.053379,175.332526,232.602867,217.920471,175.111788,190.600339,272.27009,271.72166,275.604345,500.514737,519.569799,506.694895,342.062307
57,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.312177,195.556637,313.523048,248.983844,270.75514,217.35915,186.221574,175.66821,220.190697,293.500884,277.099956,324.266076,327.991134
58,Puerto Rico,PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.804583,446.034149,458.985611,626.176162,628.064622,624.552229,495.857617,373.870394,427.021602,332.47249,308.990472,398.420415,319.348379
59,Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.135754,420.858449,461.662715,548.058749,643.715958,871.253302,982.990774,929.642489,949.176353,896.974781,960.454817,1120.633197,308.279676
60,Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.284477,20.582601,19.23418,42.270794,52.684224,41.049441,50.655638,42.319875,67.654418,80.15303,101.74577,170.988365,281.366584
61,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007387,0.006841,0.755368,2.684524,252.593398,388.722882,319.644343,276.012835,339.097889,236.289897,258.211427,289.043359,260.213894
62,Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.480076,103.180656,106.121226,126.156187,158.942394,169.499451,190.232411,269.31289,269.20135,239.777634,207.954224,256.682086,242.654431
63,Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.084522,181.046279,220.547713,189.121528,173.984189,172.74524,189.073281,180.029715,142.527234,154.695088,195.676555,227.721889,242.538089
64,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.842809,89.231782,59.969889,59.109428,74.512086,76.894198,94.962283,160.111419,150.889557,260.419005,182.283094,227.828892,234.021465
65,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.098759,222.376406,211.474506,221.194331,155.769915,163.799731,103.621528,144.584802,124.956413,127.29534,124.244906,172.540069,218.383944
66,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.459184,52.53543,60.330391,64.399645,81.789562,80.221601,111.507995,134.232779,140.414614,152.195866,187.384407,172.252681,205.430544
67,Luxembourg,LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.316626,28.859972,39.506043,33.43694,28.779889,38.536434,64.143819,63.346959,72.548276,135.789859,225.929179,279.376603,195.949505
68,Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.133207,146.43886,85.709541,106.197497,109.924995,103.385378,118.203845,120.74745,162.717001,161.583131,140.914204,178.213974,185.475457
69,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.844175,502.712742,369.340078,377.797078,443.487522,475.844331,422.801796,109.194382,22.978751,32.973686,108.106119,227.696952,183.085548
70,Solomon Islands,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.478963,174.148423,154.936921,151.440775,235.714405,286.720135,250.284627,191.702125,130.15599,129.607252,127.007451,147.276983,180.082205
71,Slovenia,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.60299,69.999499,53.280967,58.970578,72.943597,72.650084,103.490493,118.856715,144.497348,149.798463,172.301923,172.08301,178.107631
72,Republic of Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.963462,3.146283,3.066891,205.941772,687.589235,903.095067,951.238368,875.632863,137.171582,270.559762,316.643966,514.242561,164.948487
73,Nepal,NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.462264,37.9543,48.369598,50.572283,54.324744,64.928817,87.327374,92.887122,78.134674,87.264206,116.470366,154.582749,160.718967
74,Timor-Leste,TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.644486,117.00054,115.235186,115.860398,132.148254,139.549173,124.24286,117.966359,119.320318,117.890429,115.559315,123.931884,158.312343
75,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.313933,50.58833,57.524944,75.189811,86.07206,85.526608,105.538815,90.648721,115.202462,102.294422,117.641913,150.864884,158.034021
76,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.428513,160.18014,104.132974,234.982172,129.240313,92.793855,103.303644,114.338897,128.355683,197.977845,148.54757,169.984683,157.508803
77,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.224748,126.118394,101.042976,121.372515,140.801206,157.263207,157.660552,150.601014,127.215838,129.175592,136.718374,149.976459,154.434675
78,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.453044,141.960136,125.542012,131.098139,126.212184,133.955267,149.29363,162.813388,158.707958,96.281136,123.358854,118.50743,138.863177
79,Croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.886807,150.671784,155.607742,148.561236,153.09878,170.641644,175.128969,200.629253,196.073319,148.138088,129.158078,146.35622,138.04825
80,Samoa,WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.554973,132.406171,106.349198,108.423838,97.542094,101.577828,104.657991,101.357623,115.583981,126.948605,109.792968,126.263284,126.167741
81,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.518344,45.685153,34.172805,39.881589,43.989454,47.967687,47.436451,57.144912,74.875339,65.404447,53.744812,102.464352,120.21118
82,Myanmar,MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.663854,34.086793,43.628057,30.700888,33.894014,58.385035,72.258612,77.072522,103.50936,101.564787,117.355465,98.776306,119.2411845
83,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011832,3.566348,2.055662,0.22324,1.035165,1.050634,0.029381,0.316435,0.123283,0.02263,0.020143,0.050293,119.046143
84,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.055845,241.544216,52.154809,75.556273,117.416435,66.823646,62.094122,115.149703,63.220034,89.02012,94.34972,94.958162,117.062904
85,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.100462,56.129152,36.278713,50.459643,48.378339,51.496115,60.381957,65.611019,72.112287,81.557328,76.164557,89.39766,116.592663
86,Serbia,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.626708,51.914179,92.346034,98.726436,109.271106,118.917956,124.214913,112.805568,96.92836,106.025116,114.733354
87,Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42315,154.051131,56.24502,56.263369,61.014874,80.783173,74.71549,45.816747,41.678357,57.13948,45.57168,89.528528,110.685721
88,New Caledonia,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.926089,154.810601,149.70445,180.133704,272.012874,164.12122,178.582744,257.248097,208.939909,101.990574,93.979304,121.649693,108.444762
89,Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.989863,33.134668,31.762351,22.893877,46.69066,57.793037,55.044203,38.947968,51.013141,51.683794,66.639789,111.434266,105.801625
90,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.123826,237.498401,97.215214,55.902996,120.348343,72.507362,80.48772,73.596762,94.587926,68.720269,95.389935,102.0521301,92.53948514
91,Maldives,MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.767441,22.048537,17.379309,18.920182,30.385306,35.876627,34.960883,32.831477,28.73009,33.552482,57.705198,98.935005,87.947723
92,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.110519,14.416473,25.191071,47.162054,59.731869,53.660146,55.063792,51.446075,49.39073,52.298626,58.354311,72.485424,81.640088
93,Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.679672,24.243194,31.590028,27.680247,35.317189,36.368879,35.281536,45.18859,56.969685,52.309357,54.436857,66.044162,80.324563
94,Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110491,0.145073,0.437202,397.429508,910.245285,1121.372926,977.993165,1143.067696,597.672952,604.638251,571.973377,462.434735,80.121152
95,Mauritania,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.035951,2.057731,2.016461,1.002249,2.028548,1.113095,0.02139,1.015576,1.075565,1.210526,2.020243,2.093998,78.629949
96,Zimbabwe,ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.014453,19.062152,34.256858,42.249731,43.027282,44.053719,42.262986,37.374185,51.035898,57.834395,53.503066,76.737311,75.474618
97,Honduras,HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.022846,13.550685,14.098023,17.086518,22.379234,21.230138,34.678838,67.515519,53.469191,27.232009,41.98922,82.380866,74.189299
98,Macau (SAR of China),MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.885119,36.984693,33.759725,31.463209,24.778522,26.41767,29.216781,49.084364,75.298531,52.670346,41.824178,88.277172,73.627537
99,Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.135104,29.106447,36.100915,44.1894,38.136168,45.121534,46.411506,49.512716,43.244463,50.697468,65.202774,74.499459,73.208405
100,Iraq,IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.001215,85.545482,33.013124,33,39.110634,64.006499,57.007926,52.488477,62.08626,64.089728,47.041806,57.233009,73.097018
101,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.466233,39.566015,36.084092,46.254861,49.800227,57.916572,51.601016,77.759089,45.023198,47.60939,52.237742,62.994514,71.322241
102,Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.36719,22.390727,18.947447,29.927432,30.075453,30.004221,30.226698,153.633874,30.032322,32.101124,33.909797,31.649521,66.582409
103,Laos,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.094262,35.814761,31.978566,29.043653,44.002806,85.298574,89.494184,40.462877,37.77672,41.350101,47.610307,56.908843,63.331905
104,Tonga,TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.483445,38.938712,40.724714,36.490656,34.442192,35.772012,39.388916,38.387017,42.410224,49.02663,50.024627,58.277296,58.718346
105,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.552891,31.728779,31.44702,28.700736,30.574683,40.259152,52.210409,44.786534,66.409724,61.679773,58.558199,56.647198,58.601407
106,Zambia,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.509046,15.117756,15.096195,32.347911,18.040656,12.212337,19.114727,15.13965,17.381482,15.582896,16.593392,39.013916,58.218838
107,Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.205489,21.35392,20.14424,22.304002,20.361636,24.637835,28.665714,30.820548,37.755484,74.748149,63.22343,50.048634,52.832388
108,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.439285,28.819453,115.23039,50.044883,71.887151,38.034424,92.418395,111.281999,221.268793,177.151455,155.153289,92.406492,52.464351
109,Liberia,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.077061,1.032684,4.144993,20.073898,3.027846,2.221504,2.116498,2.392402,11.023746,47.05355,44.501615,48.074686,46.00859
110,Tunisia,TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.072279,50.899228,17.525032,18.786355,19.010878,19.253816,21.960337,23.65675,32.108395,34.803434,32.793678,40.293942,45.526519
111,Latvia,LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.303893,10.373251,8.958799,11.311255,10.268216,13.073646,22.198178,26.202473,30.347234,25.03219,28.57982,75.677173,43.814235
112,Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.757488,16.853696,13.765229,13.622976,11.943388,21.395103,26.597459,25.910124,37.543352,69.440816,55.345805,38.768374,43.419485
113,North Macedonia,MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.113184,4.315552,4.988482,4.321212,73.498973,81.609388,94.276522,84.691972,87.101155,51.649338,42.240173,44.256118,42.563052
114,Bosnia-Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.946851,2.205562,2.53084,2.569685,45.621711,50.352675,48.639339,55.724176,52.262828,52.660955,41.144917,40.903449,41.106078
