id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
153,Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.003015,4.014634,2,3.053636,4.054253,5.193941,4.542871,3.193712,3.407171,5.04227,5.184798,11.965166,8.668425
154,Kiribati,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.004812,5.069935,4.766081,4.539315,8.791891,12.08985,11.166984,13.262344,14.335827,10.209598,8.296879,9.055974,8.248932
155,Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314935,1.650302,2.920038,1.752562,1.367403,1.205853,2.792418,3.214862,3.251312,7.306008,5.347086,4.323121,7.978828
156,Jamaica,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.343055,5.491079,4.557664,3.281821,4.531507,4.447746,5.065369,5.569167,6.883705,7.207375,6.604602,6.359737,7.898139
157,Mali,MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.575235,8.628424,6.233797,10.566578,6.263988,6.592302,4.463773,24.553232,10.614728,8.332008,4.07358,5.316983,7.511238
158,Uzbekistan,UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.019475,1.014732,1.186396,2.55867,3.277188,3.510757,3.088763,3.807545,3.69585,2.023728,3.224988,2.197166,7.505866
159,Malawi,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.308547,4.858336,5.754574,9.77337,4.218391,3.163049,3.287662,6.058186,9.50252,7.040081,11.624134,7.034991,7.161553
160,Haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.936716,1.449441,1.859721,3.615174,2.61061,1.900822,1.721519,1.366315,3.247963,3.288862,5.612602,3.901008,6.541473
161,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005525,1.07522,1,1.019729,1.294976,0.204723,1.365177,1.710938,2.500417,1.227385,3.986977,6.201671
162,Federated States of Micronesia,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.002354,2.013379,2.092795,2.004349,2.099084,4.004209,3.035676,3.089719,3.029628,4.01355,5.006101,5.009896,6.068376
163,Guam,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.951879,4.053823,4.124051,4.030679,3.288153,3.237946,2.083545,3.083695,5.293692,3.253318,2.697796,4.101985,4.901263
164,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.868036,3.295093,3.389402,4.710365,5.978316,8.780082,11.009013,45.155727,16.578273,5.321528,13.346189,47.740842,4.524507
165,Montenegro,MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057494,2.155284,7.245571,9.189084,10.192542,8.367214,5.577057,5.425765,4.538488,4.479021,4.369188
166,Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375757,2.139427,3.752531,1.385965,3.095548,2.415818,3.981789,4.328366,2.930177,0.805431,3.598807,1.920772,4.348333
167,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.058028,3.163733,4.028241,6.096991,13.296653,5.030621,35.919376,40.787891,33.630379,14.065835,1.664254,35.292113,4.098919
168,UK Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.873346,3.728109,3.624137,4.204623,3.321783,4.7464,10.029595,13.569209,15.098151,9.617318,9.666672,7.211198,3.787187
