id,countries,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
70,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.720481,123.762844,149.732794,160.321666,185.250507,181.306609,199.959102,205.943303,202.914473,203.995858,150.831191,159.746812,165.078221,134.27317
71,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.657056,1247.486443,687.183305,371.839525,308.873791,357.673074,237.857055,141.209002,117.767835,120.378737,159.308172,160.050941,175.320217,129.249467
72,Greece,111.771,109.807,97.778,85.706,81.544,74.855,78.156,61.63,90.625,95.957,130.811,130.3555311,186.194,255.783,173.323,125.621,149.8,95.649,153.428119,118.050649,157.222299,118.403082,90.519476,91.075421,101.14271,100.273853,103.670558,99.690723,102.999923,118.346548,120.990313,115.886816,127.527132
73,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.708733,67.069366,86.180057,87.673131,99.411144,68.228387,57.13684,67.748406,83.507303,77.78297,71.193316,70.318233,63.563871,120.816828
74,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.136191,122.288464,125.533518,126.150768,111.449669,107.293246,108.595426,120.080787,120.873614,141.032016,129.959911,132.294964,142.630059,116.189966
75,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.942051,14.043608,19.833289,15.72036,18.272727,17.737268,58.553858,66.845596,92.061112,71.787217,90.602706,196.329065,132.321296,114.482041
76,Southern and East Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.571377,0,77.42831,48.137124,79,96,72,12,8,29,51,22,29,111.234
77,Brunei,21.097,18.121,25.262,19.298,24.609,63.618,71.705,67.716,82.439,67.797,67.157,78.67366735,64.271,83.004,112.341,108.471,88.24,100.535,80.453914,82.327345,93.09028,104.492457,97.002613,98.330764,88.621249,105.427922,92.157399,102.056142,110.602506,104.53579,109.027471,107.060869,105.537122
78,Iceland (b),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8174,12.247116,36.472347,5.252947,9.736847,7.602344,6.557071,8.389558,9.470579,114.085427,248.157315,330.945827,447.360747,102.851244
79,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.129387,17.616844,10.58978,12.987085,7.837829,12.548572,24.036539,12.632762,12.285817,18.325618,43.171766,68.194518,89.457511,89.937044
80,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.132209,74.873072,76.648002,69.672857,56.677739,64.482059,66.122982,71.498291,74.394565,72.975486,77.249993,75.32836,89.363747,88.583935
81,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.201028,76.115545,74.034191,76.523525,62.063532,65.324535,71.212139,85.605865,77.158951,78.659796,118.481714,103.806542,95.882873,83.501828
82,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.005198,62.522968,97.225156,77.532821,92.625633,88.137292,85.205055,94.157941,99.756112,102.842761,101.552218,93.954641,100.429559,83.361317
83,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.002221,30.816131,39.660376,30.731171,22.757531,44.092273,31.719472,62.771239,33.655393,68.126801,114.477443,110.197654,84.761623,79.33241
84,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.119586,79.197212,52.141158,48.21337,62.083436,60.262217,68.988899,71.559729,74.011818,55.612153,59.77948,62.153306,67.634071,77.291058
85,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.734924,97.114144,108.380771,99.587199,77.490902,64.598552,48.743461,48.77753,56.285774,64.57049,76.180897,79.671569,83.162074,76.431366
86,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.838367,21.773571,12.747967,16.857089,24.183444,39.676075,23.717069,35.764456,29.744501,34.772342,36.736528,58.065298,131.901805,74.224549
87,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.312022,63.820777,70.984173,64.739666,58.831586,66.13983,50.996363,105.553506,65.406148,56.588173,73.946275,66.050545,59.617079,73.420332
88,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.922071,81.942607,117.747773,90.027392,132.236994,112.355014,143.913197,108.837487,131.968526,61.11552,61.221122,65.090284,67.776309,66.831782
89,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.105593,96.790063,97.953799,76.578129,60.326402,60.14028,57.723758,55.234687,56.904591,57.979213,60.038987,60.090527,63.893882,66.539538
90,nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.105634,30.413175,33.051549,21.202147,19.081149,24.364513,67.48059,157.062329,83.746578,97.265146,58.20995,64.50236,59.923447,62.617423
91,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.840729,36.241538,35.237933,37.903754,39.658504,38.193523,46.687196,45.954752,49.493939,51.973414,50.406144,57.687247,62.892675,60.360569
92,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.088244,25.63099,27.270834,22.095966,28.761092,49.948514,38.38294,35.989427,36.074489,42.972324,41.269039,40.23248,43.134737,54.258432
93,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.602176,217.561736,184.47447,156.34416,97.589285,97.002377,67.706532,121.003261,158.168509,109.19717,98.148622,63.825445,169.751105,52.581177
94,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.406035,158.919645,129.079218,40.680003,21.662254,37.967068,38.176338,63.570693,74.088543,56.801722,101.854703,68.541991,67.250861,51.38882
