id,countries,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
156,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.233103,43.783356,31.324666,18.406753,26.583173,27.242902,15.547186,5.906389,5.839914,6.192855,6.629269,14.39348,8.361851,6.61456
157,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55612,14.598887,34.037766,10.451483,13.282294,10.748664,12.238431,10.327598,15.239238,10.611066,8.152465,26.31159,6.07173,6.4669
158,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.552859,5.966904,9.948937,33.894608,9.614439,16.486288,37.075204,25.334952,29.700882,35.479615,23.649469,10.168647,6.296942,6.40007
159,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33298,8.28639,5.152441,6.130433,7.332038,9.21421,9.892243,8.87139,7.437102,7.650647,9.476222,5.366622,6.87099,5.987552
160,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.614464,7.290065,5.095117,5.236252,3.623672,2.946979,3.413567,4.322935,7.061987,4.849265,6.827883,5.827904,5.28706,5.88915
161,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.073983,6.290719,4.877052,4.176309,3.536695,2.53265,2.642348,2.644694,6.177182,5.3796,6.532146,5.99192,5.650294,5.408824
162,Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.134585,4.546269,7.575126,6.925368,14.886805,10.120663,8.260467,7.025706,7.622032,6.801952,6.471467,6.923416,6.84427,5.256037
163,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.574208,4.593103,4.104366,4.288416,6.79726,6.423781,4.069307,7.390916,7.013609,6.779714,7.12358,8.334361,7.073831,5.253642
164,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538216,1.693452,1.625216,3.052159,5.665387,6.143859,2.268698,2.478393,8.275034,8.966219,2.60133,5.839606,15.082085,4.888528
165,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175191,1.521227,2.069098,1.235304,1.074267,7.802842,7.973209,16.717157,5.509618,4.091182,3.563069,2.815506,4.217231,4.596699
166,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.585761,3.052895,2.860398,2.083438,3.179513,6.842715,1.894386,2.950787,2.500307,5.027768,3.304244,11.746946,9.663755,4.567979
167,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.862979,7.480105,3.12171,1.997561,1.847454,3.244556,6.430855,2.502632,2.058113,3.464708,2.440808,2.455281,2.871974,4.277649
168,Wallis & Futuna Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.257161,6.638757,10.581996,6.915168,7.478845,5.619471,5.051825,4.757437,5.179539,4.993128,4.728101,3.470586,3.710067,3.952901
169,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51905,12.297252,6.657995,1.319136,3.158032,1.247233,3.836755,3.75302,3.189925,2.669878,1.771662,3.104964,2.524913,3.818287
170,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.310726,12.635271,5.856258,5.442794,4.264527,4.535067,27.092486,9.566813,18.608014,10.395727,8.401586,5.388136,4.226029,3.795089
171,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.241623,2.55974,1.944525,1.892685,4.844092,4.437949,5.615158,12.636192,7.812934,3.066793,2.594192,4.787267,4.726406,3.715202
172,Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444721,1.681579,23.006796,1.940983,9.981598,8.662621,8.954532,16.973766,13.464388,5.495393,4.501588,5.66702,5.465625,3.690536
173,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.561881,8.36503,38.355777,14.26138,18.322819,21.557344,9.315865,5.045233,4.180049,4.943366,3.699506,3.058983,4.609157,3.350793
174,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.546469,36.521308,55.916463,56.480976,50.520756,59.856787,50.00956,41.762288,32.078398,13.786852,11.619303,4.128862,8.94876,3.240451
175,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.457736,2.376028,1.444366,1.691685,1.386496,1.240357,1.19639,2.304487,2.273115,2.383448,1.067006,2.082492,4.108212,3.028593
176,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.090716,8.843023,6.093455,8.24611,4.046188,3.287509,8.801712,17.064577,2.216663,3.283163,4.63995,5.458583,7.789145,2.739662
177,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.258917,1.484685,0.181707,0.264608,0.304081,0.590981,0.411843,1.174848,0.238873,2.528129,3.640607,2.162004,2.24161,2.603282
178,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.394602,12.686136,6.532096,2.886273,12.432734,13.52836,4.133458,5.833671,5.939219,2.864504,3.203172,2.944882,2.573339,2.600641
179,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.401703,1.762473,1.919741,1.750935,1.512854,1.912035,2.007863,0.95909,2.60795,4.949004,2.070315,1.346927,2.388813,2.578798
180,St Vincent & Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947516,1.681332,2.625401,1.639751,1.910782,1.15281,0.654897,0.121374,0.101103,0.35078,0.630982,1.810655,1.908295,2.163446
181,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.441732,14.783073,10.195991,5.774066,5.030825,4.934165,5.879028,7.859901,9.437865,9.578837,9.973467,5.733485,4.148792,2.105268
182,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.396765,4.826005,1.943438,4.951055,5.852233,2.450641,3.609144,3.744964,2.371779,2.569323,5.090537,3.383682,1.297547,2.104092
183,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359266,1.032115,1.255914,1.042454,1.139255,1.153654,3.207377,3.995145,1.118732,1.090793,1.153217,1.064474,1.046938,2.033631
184,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211516,7.095086,1.470728,2.013903,1.079602,1.024984,2.112744,1.031535,4.0531,2.152476,2
185,Gaza Strip and West Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,2,2,2,2
186,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.628327,1.148291,2.140951,1.238445,0.947132,1.417313,2.031833,1.062233,1.693442,3.680455,3.827757,2.147958,4.367726,1.870803
187,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.513937,2.835082,2.105064,1.240274,1.933148,1.192211,1.841977,1.808229,1.593034,1.283212,1.47241,1.587827,2.466309,1.779896
188,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219035,0.257872,0.165326,0.108153,0.312437,1.129339,1.217963,2.019787,1.216886,1.158654,2.395682,1.176838,1.404153,1.491485
189,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197924,1.540325,0.27393,1.297352,0.270053,0.145187,1.236306,1.157063,1.550267,1.907878,1.090686,1.273594,2.965891,1.352721
190,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037691,0.042229,0.2117,0.255948,1.324333,1.278732,1.109533,1,1.033522,1.109214,0.022427,1.018507,1.075337,1.201419
191,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243797,0.29463,0.150853,0.008674,0.493345,0.120799,1.137328,1.07955,1.204002,0.579332,0.09426,1.117267,2.070125,1.188725
192,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.566894,1.129183,0.233626,0.341141,0.850672,2.608898,1.822581,1.182307,4.695436,2.778035,1.698204,2.075851,1.713289,1.111085
193,St Kitts & Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194705,0.169958,0.258507,0.190056,0.149072,0.12965,0.277587,0.32915,0.630963,0.614355,0.672446,0.877233,1.133142,1.083487
194,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119207,0.171309,0.106756,0.008345,0.08857,0.10552,0.180799,3.181136,1.866277,1.108692,1.01176,0.003615,1.077512,1.055905
195,Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645146,0.546516,0.702499,0.366987,0.721509,0.80835,2.209902,0.225082,0.345364,0.401986,0.716153,0.923609,1.196764,1.031893
196,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21292,1.011193,1.042244,1.291871,1.052379,1.109754,1.031392,1,2,1.024955,1.064577,1.009565,1.031139,1.004476
197,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288156,0.303836,0.738502,0.236016,0.906816,0.573061,0.432134,0.410728,5.836615,0.435297,0.225424,0.374882,1.057172,0.980732
198,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.307486,2.501774,2.241376,0.167246,1.150194,0.38272,0.530138,1.205039,0.115141,0.177984,1.154727,0.201279,0.432918,0.803233
199,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234398,0.156158,0.092236,0.250762,0.169588,0.052636,0.038847,1.4511,1.751884,3.449649,0.939213,0.855989,0.040655,0.688317
200,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052561,0.207088,0.154503,0.015,0.416879,0.303097,0.235617,0.165212,0.098315,0.808569,0.554145,0.656162,0.540162,0.686197
201,French Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89812,5.12689,4.604281,2.974588,1.647041,34.333783,1.140942,1.207514,1.82017,0.894862,0.43567,0.56743,2.106637,0.508591
202,US Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.939355,2.657642,0.966793,1.666469,1.520385,0.515661,0.617255,0.579015,1.248828,2.134321,1.230488,0.476228,1.519783,0.502201
203,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.311139,4.622009,2.965364,2.956467,0.787243,1.472931,0.707259,6.466631,1.020595,0.743657,2.117516,0.68259,1.092135,0.35827
204,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882136,1.663659,12.702928,0.460791,0.802943,1.976305,1.610152,1.33249,1.649727,1.482646,1.727074,1.050639,1.226686,0.308606
205,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664691,0.962288,0.597577,0.729029,0.146287,0.053266,0.022758,0.047914,0.132559,0.024219,0.007605,0.108976,0.0281,0.1809
206,Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520268,0.495348,0.208555,0.218328,0.104852,0.101257,0.113031,0.121417,2.272226,0.158931,0.142674,0.2873,0.176367,0.139199
207,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818448,0.148849,0.064013,0.030417,0.244451,0,0,0,0,0,0.295253,0,0,0.122859
208,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164785,3.111916,1.115931,0.49032,1.637208,0.818936,0.16065,0.491364,1.12979,2.535311,0.441176,0.647892,0.318387,0.086975
209,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731129,0.057355,0.300718,0.313019,0.09832,0.24272,0.26592,0.077247
210,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.848269,0.245561,0.740994,4.576795,0.295585,0.618635,0.428686,0.977503,1.150732,1.041846,1.078578,1.272139,0.268514,0.034882
211,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323224,1.792016,0.952099,0.202257,0.565947,2.523319,2.828264,1.369568,1.886389,2.517264,1.066845,1.366155,2.142884,0.032356
212,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489211,0.199476,0.205174,0.051232,1.128284,2.353889,1.975023,2.964809,0.05366,0.045441,0.408573,0.008196,0.109261,0.030291
213,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018943,0.019115,0,0.009557,0.009392,0,0.00919,0,0.008275,0.177137,0,0.00255,0.735919,0.028231
214,Sao Tome & Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404743,0.048022,0.003269,0.00339,0,0,0,0.10499,0,0,0.110974,0.138683,0,0.014335
215,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695175,4.022303,0.631574,0.189698,0.116147,1.701112,0.48584,0.245089,0.602459,2.03081,0.505088,3.831962,0.306342,0.010162
216,St Pierre & Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051844,0.00936,0.045,0,0.018571,0,0.004,0,0,0,0,0,0,0.004293
217,Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075148,0.310308,0.005587,0.931934,0.005827,2.374977,0.342115,1.049951,0.193816,0.053453,0.081537,0.235,0.25303,0.003048
218,Polynesia (excl Hawaii) nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.902443,0.49337,0.165717,0,0.020472,0.01212,0,0.087564,0,0,0,0.156209,2.803624,0
219,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012991,0,0.291696,0,0,0,0,0,0,0,0.008726,0,1.760824,0
220,Turks & Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020541,0.060488,0.021336,0,0.019798,0,0.010189,0.028292,0.038818,0,0.00201,0.057942,0
221,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051262,0.028293,0.215695,0,0,0.015309,0.007954,0.006884,0,0,0,0.0059,0
222,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039876,0,0,0,0
223,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575,0.073251,0.225292,0.319034,0,0.091357,0.115568,0.02585,0.326515,0.00364,0,0,0,0
224,Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,24,13,8,6.342222,0,13,9,0,0,0,0,0
225,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136185,0,0,0,0,0,0.003754,0,0,0,0,0
226,Adelie Land (France),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Midway Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,US Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Former Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.294759,189.595078,312.917592,215.441684,161.324206,268.944596,0,0,0,0,0,0,0,0
